13-01-2022 18:04:26 || ::1 || Norpertuz || Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36 || Wynik(ms):855
13-01-2022 18:04:30 || ::1 || Norpertuz || Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36 || Wynik(ms):851
13-01-2022 18:06:35 || 192.168.8.102 || Norpertuz || Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36 || Wynik(ms):8989
13-01-2022 18:14:47 || ::1 || Norpertuz || Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36 || Wynik(ms):857
13-01-2022 19:09:55 || 192.168.8.101 || Norpertuz || Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36 || Wynik(ms):852
13-01-2022 19:10:39 || 192.168.8.100 || DESKTOP-U8S4T8R || Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36 || Wynik(ms):3502
13-01-2022 19:11:02 || 192.168.8.100 || DESKTOP-U8S4T8R || Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36 || Wynik(ms):2696
14-01-2022 13:12:21 || ::1 || Norpertuz || Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36 || Wynik(ms):834
14-01-2022 13:17:26 || ::1 || Norpertuz || Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36 || Wynik(ms):835
14-01-2022 13:18:15 || ::1 || Norpertuz || Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36 || Wynik(ms):829
14-01-2022 13:18:53 || ::1 || Norpertuz || Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36 || Wynik(ms):849
14-01-2022 13:19:22 || ::1 || Norpertuz || Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36 || Wynik(ms):849
14-01-2022 13:19:23 || ::1 || Norpertuz || Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36 || Wynik(ms):849
14-01-2022 13:19:24 || ::1 || Norpertuz || Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36 || Wynik(ms):849
14-01-2022 13:20:24 || ::1 || Norpertuz || Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36 || Wynik(ms):849
14-01-2022 13:21:05 || ::1 || Norpertuz || Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36 || Wynik(ms):849
14-01-2022 13:21:24 || ::1 || Norpertuz || Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36 || Wynik(ms):849
